age,workclass,education,marital-status,occupation,relationship,gender,native-country,income
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[17,25]","[Private,State-gov]","[10th,Assoc-acdm]","[Married-civ-spouse,Never-married]","[Adm-clerical,Transport-moving]","[Husband,Unmarried]","[Female,Male]","[El-Salvador,United-States]",<=50K
"[18,25]","[Federal-gov,Self-emp-inc]","[HS-grad,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Husband,Unmarried]","[Female,Male]","[United-States,United-States]",<=50K
"[18,25]","[Federal-gov,Self-emp-inc]","[HS-grad,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Husband,Unmarried]","[Female,Male]","[United-States,United-States]",<=50K
"[18,25]","[Federal-gov,Self-emp-inc]","[HS-grad,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Husband,Unmarried]","[Female,Male]","[United-States,United-States]",<=50K
"[18,25]","[Federal-gov,Self-emp-inc]","[HS-grad,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Husband,Unmarried]","[Female,Male]","[United-States,United-States]",<=50K
"[18,25]","[Federal-gov,Self-emp-inc]","[HS-grad,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Husband,Unmarried]","[Female,Male]","[United-States,United-States]",<=50K
"[18,25]","[Federal-gov,Self-emp-inc]","[HS-grad,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Husband,Unmarried]","[Female,Male]","[United-States,United-States]",<=50K
"[18,25]","[Federal-gov,Self-emp-inc]","[HS-grad,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Husband,Unmarried]","[Female,Male]","[United-States,United-States]",<=50K
"[18,25]","[Federal-gov,Self-emp-inc]","[HS-grad,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Husband,Unmarried]","[Female,Male]","[United-States,United-States]",<=50K
"[18,25]","[Federal-gov,Self-emp-inc]","[HS-grad,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Husband,Unmarried]","[Female,Male]","[United-States,United-States]",<=50K
"[18,25]","[Federal-gov,Self-emp-inc]","[HS-grad,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Husband,Unmarried]","[Female,Male]","[United-States,United-States]",<=50K
"[18,25]","[Federal-gov,Self-emp-inc]","[HS-grad,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Husband,Unmarried]","[Female,Male]","[United-States,United-States]",<=50K
"[18,25]","[Federal-gov,Self-emp-inc]","[HS-grad,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Husband,Unmarried]","[Female,Male]","[United-States,United-States]",<=50K
"[18,25]","[Federal-gov,Self-emp-inc]","[HS-grad,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Husband,Unmarried]","[Female,Male]","[United-States,United-States]",<=50K
"[18,25]","[Federal-gov,Self-emp-inc]","[HS-grad,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Husband,Unmarried]","[Female,Male]","[United-States,United-States]",<=50K
"[18,25]","[Federal-gov,Self-emp-inc]","[HS-grad,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Husband,Unmarried]","[Female,Male]","[United-States,United-States]",<=50K
"[18,25]","[Federal-gov,Self-emp-inc]","[HS-grad,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Husband,Unmarried]","[Female,Male]","[United-States,United-States]",<=50K
"[18,25]","[Federal-gov,Self-emp-inc]","[HS-grad,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Husband,Unmarried]","[Female,Male]","[United-States,United-States]",<=50K
"[18,25]","[Federal-gov,Self-emp-inc]","[HS-grad,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Husband,Unmarried]","[Female,Male]","[United-States,United-States]",<=50K
"[18,25]","[Federal-gov,Self-emp-inc]","[HS-grad,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Husband,Unmarried]","[Female,Male]","[United-States,United-States]",<=50K
"[18,25]","[Federal-gov,Self-emp-inc]","[HS-grad,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Husband,Unmarried]","[Female,Male]","[United-States,United-States]",<=50K
"[19,25]","[Federal-gov,State-gov]","[Assoc-voc,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Not-in-family,Own-child]","[Female,Male]","[Mexico,Vietnam]",<=50K
"[19,25]","[Federal-gov,State-gov]","[Assoc-voc,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Not-in-family,Own-child]","[Female,Male]","[Mexico,Vietnam]",<=50K
"[19,25]","[Federal-gov,State-gov]","[Assoc-voc,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Not-in-family,Own-child]","[Female,Male]","[Mexico,Vietnam]",<=50K
"[19,25]","[Federal-gov,State-gov]","[Assoc-voc,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Not-in-family,Own-child]","[Female,Male]","[Mexico,Vietnam]",<=50K
"[19,25]","[Federal-gov,State-gov]","[Assoc-voc,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Not-in-family,Own-child]","[Female,Male]","[Mexico,Vietnam]",<=50K
"[19,25]","[Federal-gov,State-gov]","[Assoc-voc,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Not-in-family,Own-child]","[Female,Male]","[Mexico,Vietnam]",<=50K
"[19,25]","[Federal-gov,State-gov]","[Assoc-voc,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Not-in-family,Own-child]","[Female,Male]","[Mexico,Vietnam]",<=50K
"[19,25]","[Federal-gov,State-gov]","[Assoc-voc,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Not-in-family,Own-child]","[Female,Male]","[Mexico,Vietnam]",<=50K
"[19,25]","[Federal-gov,State-gov]","[Assoc-voc,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Not-in-family,Own-child]","[Female,Male]","[Mexico,Vietnam]",<=50K
"[19,25]","[Federal-gov,State-gov]","[Assoc-voc,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Not-in-family,Own-child]","[Female,Male]","[Mexico,Vietnam]",<=50K
"[19,25]","[Federal-gov,State-gov]","[Assoc-voc,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Not-in-family,Own-child]","[Female,Male]","[Mexico,Vietnam]",<=50K
"[19,25]","[Federal-gov,State-gov]","[Assoc-voc,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Not-in-family,Own-child]","[Female,Male]","[Mexico,Vietnam]",<=50K
"[19,25]","[Federal-gov,State-gov]","[Assoc-voc,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Not-in-family,Own-child]","[Female,Male]","[Mexico,Vietnam]",<=50K
"[19,25]","[Federal-gov,State-gov]","[Assoc-voc,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Not-in-family,Own-child]","[Female,Male]","[Mexico,Vietnam]",<=50K
"[19,25]","[Federal-gov,State-gov]","[Assoc-voc,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Not-in-family,Own-child]","[Female,Male]","[Mexico,Vietnam]",<=50K
"[19,25]","[Federal-gov,State-gov]","[Assoc-voc,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Not-in-family,Own-child]","[Female,Male]","[Mexico,Vietnam]",<=50K
"[19,25]","[Federal-gov,State-gov]","[Assoc-voc,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Not-in-family,Own-child]","[Female,Male]","[Mexico,Vietnam]",<=50K
"[19,25]","[Federal-gov,State-gov]","[Assoc-voc,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Not-in-family,Own-child]","[Female,Male]","[Mexico,Vietnam]",<=50K
"[19,25]","[Federal-gov,State-gov]","[Assoc-voc,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Not-in-family,Own-child]","[Female,Male]","[Mexico,Vietnam]",<=50K
"[19,25]","[Federal-gov,State-gov]","[Assoc-voc,Some-college]","[Divorced,Never-married]","[Adm-clerical,Other-service]","[Not-in-family,Own-child]","[Female,Male]","[Mexico,Vietnam]",<=50K
"[18,25]","[Private,Without-pay]","[Bachelors,Some-college]","[Married-civ-spouse,Never-married]","[Adm-clerical,Other-service]","[Husband,Wife]","[Female,Male]","[Thailand,United-States]",<=50K
"[18,25]","[Private,Without-pay]","[Bachelors,Some-college]","[Married-civ-spouse,Never-married]","[Adm-clerical,Other-service]","[Husband,Wife]","[Female,Male]","[Thailand,United-States]",<=50K
"[18,25]","[Private,Without-pay]","[Bachelors,Some-college]","[Married-civ-spouse,Never-married]","[Adm-clerical,Other-service]","[Husband,Wife]","[Female,Male]","[Thailand,United-States]",<=50K
"[18,25]","[Private,Without-pay]","[Bachelors,Some-college]","[Married-civ-spouse,Never-married]","[Adm-clerical,Other-service]","[Husband,Wife]","[Female,Male]","[Thailand,United-States]",<=50K
"[18,25]","[Private,Without-pay]","[Bachelors,Some-college]","[Married-civ-spouse,Never-married]","[Adm-clerical,Other-service]","[Husband,Wife]","[Female,Male]","[Thailand,United-States]",<=50K
"[18,25]","[Private,Without-pay]","[Bachelors,Some-college]","[Married-civ-spouse,Never-married]","[Adm-clerical,Other-service]","[Husband,Wife]","[Female,Male]","[Thailand,United-States]",<=50K
"[18,25]","[Private,Without-pay]","[Bachelors,Some-college]","[Married-civ-spouse,Never-married]","[Adm-clerical,Other-service]","[Husband,Wife]","[Female,Male]","[Thailand,United-States]",<=50K
"[18,25]","[Private,Without-pay]","[Bachelors,Some-college]","[Married-civ-spouse,Never-married]","[Adm-clerical,Other-service]","[Husband,Wife]","[Female,Male]","[Thailand,United-States]",<=50K
"[18,25]","[Private,Without-pay]","[Bachelors,Some-college]","[Married-civ-spouse,Never-married]","[Adm-clerical,Other-service]","[Husband,Wife]","[Female,Male]","[Thailand,United-States]",<=50K
"[18,25]","[Private,Without-pay]","[Bachelors,Some-college]","[Married-civ-spouse,Never-married]","[Adm-clerical,Other-service]","[Husband,Wife]","[Female,Male]","[Thailand,United-States]",<=50K
"[18,25]","[Private,Without-pay]","[Bachelors,Some-college]","[Married-civ-spouse,Never-married]","[Adm-clerical,Other-service]","[Husband,Wife]","[Female,Male]","[Thailand,United-States]",<=50K
"[18,25]","[Private,Without-pay]","[Bachelors,Some-college]","[Married-civ-spouse,Never-married]","[Adm-clerical,Other-service]","[Husband,Wife]","[Female,Male]","[Thailand,United-States]",<=50K
"[18,25]","[Private,Without-pay]","[Bachelors,Some-college]","[Married-civ-spouse,Never-married]","[Adm-clerical,Other-service]","[Husband,Wife]","[Female,Male]","[Thailand,United-States]",<=50K
"[18,25]","[Private,Without-pay]","[Bachelors,Some-college]","[Married-civ-spouse,Never-married]","[Adm-clerical,Other-service]","[Husband,Wife]","[Female,Male]","[Thailand,United-States]",<=50K
"[18,25]","[Private,Without-pay]","[Bachelors,Some-college]","[Married-civ-spouse,Never-married]","[Adm-clerical,Other-service]","[Husband,Wife]","[Female,Male]","[Thailand,United-States]",<=50K
"[18,25]","[Private,Without-pay]","[Bachelors,Some-college]","[Married-civ-spouse,Never-married]","[Adm-clerical,Other-service]","[Husband,Wife]","[Female,Male]","[Thailand,United-States]",<=50K
"[18,25]","[Private,Without-pay]","[Bachelors,Some-college]","[Married-civ-spouse,Never-married]","[Adm-clerical,Other-service]","[Husband,Wife]","[Female,Male]","[Thailand,United-States]",<=50K
